Id;Statut;Probleme;Resolution;DateCreation;DateResolution;ProduitVersion_SystemeExploitationId
1;0;Les utilisateurs ne peuvent pas supprimer certains exercices préchargés de leur bibliothèque d'exercices.;Le problème était dû à une erreur de conception dans la gestion de la bibliothèque d'exercices. Les exercices préchargés non souhaités peuvent maintenant être supprimés avec succès par les utilisateurs.;31/07/2023;03/05/2023;31
2;0;L'application affiche des informations de marché obsolètes, ce qui peut conduire à des décisions de trading inexactes.;Le problème était dû à un problème de cache des données de marché. La durée de mise en cache a été ajustée pour afficher les informations de marché les plus récentes et précises.;18/02/2023;02/03/2023;22
3;0;Certains utilisateurs ne peuvent pas voir le solde total de leur portefeuille en raison d'une erreur d'affichage.;Le problème était lié à une mauvaise mise en forme des données de solde. La mise en forme a été corrigée et les utilisateurs peuvent maintenant voir leur solde total correctement.;12/02/2023;28/02/2023;9
4;0;L'application ne prend pas en charge les fonctionnalités d'accessibilité pour les utilisateurs malvoyants.;L'accessibilité a été améliorée dans l'application avec l'ajout de compatibilité avec les lecteurs d'écran et des contrôles vocaux pour faciliter l'utilisation par les utilisateurs malvoyants.;08/02/2023;25/02/2023;4
5;0;Les utilisateurs signalent des incohérences dans les données affichées dans les graphiques de performance des portefeuilles.;Le problème était lié à une erreur de calcul dans les performances affichées. Les calculs ont été révisés et les graphiques de performance affichent maintenant les données correctes.;02/02/2023;20/02/2023;24
6;0;L'application ne parvient pas à synchroniser les transactions effectuées sur différents appareils.;Le problème était dû à un conflit dans la synchronisation des données. Un processus de synchronisation amélioré a été mis en place pour garantir que les transactions sont correctement synchronisées entre les appareils des utilisateurs.;25/01/2023;15/02/2023;11
7;0;Les utilisateurs rencontrent des délais de chargement élevés lorsqu'ils essayent d'accéder à des plans d'entraînement personnalisés.;Le problème était dû à une surcharge des serveurs pendant les heures de pointe. Des améliorations d'infrastructure ont été mises en place pour réduire les délais de chargement et améliorer les performances globales de l'application.;20/01/2023;10/02/2023;43
8;0;Certains utilisateurs ne peuvent pas sauvegarder leurs paramètres de personnalisation de l'interface utilisateur.;Le problème était lié à des autorisations insuffisantes pour enregistrer les préférences. Une mise à jour a été effectuée pour accorder les autorisations nécessaires, et les paramètres de personnalisation peuvent maintenant être sauvegardés avec succès.;15/01/2023;05/02/2023;16
9;0;Les utilisateurs ne peuvent pas ajouter d'actions à leur liste de surveillance depuis certains marchés boursiers internationaux.;Le problème était dû à un problème de compatibilité avec les sources de données tierces pour certains marchés. L'application a été mise à jour pour prendre en charge ces sources de données et les utilisateurs peuvent maintenant ajouter des actions depuis n'importe quel marché.;10/01/2023;25/01/2023;6
10;1;Les utilisateurs ne peuvent pas supprimer certains exercices préchargés de leur bibliothèque d'exercices.;;22/02/2023;;31
11;1;L'application affiche des informations de marché obsolètes, ce qui peut conduire à des décisions de trading inexactes.;;18/02/2023;;22
12;1;Certains utilisateurs ne peuvent pas voir le solde total de leur portefeuille en raison d'une erreur d'affichage.;;12/02/2023;;15
13;1;L'application ne prend pas en charge les fonctionnalités d'accessibilité pour les utilisateurs malvoyants.;;08/02/2023;;37
14;1;Les utilisateurs signalent des incohérences dans les données affichées dans les graphiques de performance des portefeuilles.;;02/02/2023;;20
15;1;L'application ne parvient pas à synchroniser les transactions effectuées sur différents appareils.;;25/01/2023;;29
16;1;"Certains utilisateurs signalent que l'application plante lorsqu'ils essaient d'utiliser la fonction ""Suivi des symptômes"" pendant une période prolongée.";;05/01/2023;;42
17;0;Certains utilisateurs ne parviennent pas à se connecter à leur compte de trading, malgré des informations d'identification correctes.;Le problème était lié à une maintenance serveur non planifiée qui empêchait temporairement les connexions. Le serveur a été rétabli, et les utilisateurs peuvent à nouveau se connecter normalement.;05/03/2023;20/03/2023;35
18;0;Les utilisateurs signalent que certaines actions ne sont pas répertoriées dans la base de données de l'application, les empêchant de les ajouter à leur portefeuille.;Une mise à jour de la base de données a été effectuée pour inclure toutes les actions manquantes signalées par les utilisateurs. Les actions sont désormais disponibles pour ajout dans l'application.;10/03/2023;02/04/2023;19
19;0;Les utilisateurs ne reçoivent pas de notifications de rappel pour leurs exercices d'exposition sociale.;Le problème était dû à une autorisation manquante pour les notifications push. L'application a été mise à jour pour demander aux utilisateurs de donner leur consentement pour recevoir les rappels.;20/03/2023;08/04/2023;44
